product_id,booktitle,author,price,current_price,quantity,category,n_review,avg_rating,pages,publisher,mainImage[0].url,1,language[0],,,discount
1180,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,64800,53075,Tiểu Thuyết,11481,5,244,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,0.4,Vietnamese (Tiếng Việt),,,40
4893,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,108000,64800,7929,Others,780,4.8,184,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/d7/99/24/17bff8d26027846b2d7478ad4ba83fea.jpg,0.3,Vietnamese (Tiếng Việt),,,30
6285,Những Tù Nhân Của Địa Lý,Tim Marshall,86000,59900,17896,Lĩnh vực khác,3623,4.8,430,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,0.4,Vietnamese (Tiếng Việt),,,40
8034,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,210000,126000,24668,Tác phẩm kinh điển,5131,5,228,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg,0.4,Vietnamese (Tiếng Việt),,,40
8855,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Unknown,79000,47400,10000,Tiểu Thuyết,1636,4.8,304,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,0.4,Vietnamese (Tiếng Việt),,,40
9762,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,135000,81000,25272,Truyện ngắn - Tản văn - Tạp Văn,3791,4.8,358,Unknown,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg,0.4,Vietnamese (Tiếng Việt),,,40
9014,Thao Túng Tâm Lý,Shannon Thomas,105000,63000,8152,Others,785,4.8,328,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/90/49/97/ec88ab408c1997378344486c94dbac40.jpg,0.39,Vietnamese (Tiếng Việt),,,39
9049,Thư Viện Nửa Đêm,Matt Haig,169000,103000,7166,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1544,4.8,424,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8e/32/3d/e4487c4c7e335bbda4f06dd54d8e35b8.jpg,0.4,Vietnamese (Tiếng Việt),,,40
3273,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,150000,90000,4630,Others,604,4.8,296,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5b/96/23/348b84ca8e0d0b49bf9c8d9595336e69.jpg,0.25,Vietnamese (Tiếng Việt),,,25
8464,Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,135000,81000,3980,Others,327,4.8,352,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ca/b9/76/3496cc7fd438e19e0a5732cba25e0aee.png,0.39,Vietnamese (Tiếng Việt),,,39
3469,Yêu Những Điều Không Hoàn Hảo,Hae Min,210000,126000,33316,Truyện ngắn - Tản văn - Tạp Văn,3431,4.8,300,Unknown,https://salt.tikicdn.com/ts/product/54/55/d6/4ceb6ba3bd81614df8ff4c1411b11f59.jpg,0.4,Vietnamese (Tiếng Việt),,,40
8072,Hiểu Về Trái Tim (Tái Bản),Minh Niệm,128000,96000,25230,Others,2990,4.8,480,Unknown,https://salt.tikicdn.com/media/catalog/producttmp/35/e9/f2/4fc9547b96ed1e6a449ce4e06edb9010.jpg,0.31,Vietnamese (Tiếng Việt),,,31
6703,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,139000,85180,164,Sách kinh tế học,14,4.6,559,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/6c/87/e7/db72a8050a15d86d8102cd21ab1d8b11.jpg,0.21,Vietnamese (Tiếng Việt),,,21
7487,Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,139000,83400,17175,Tiểu Thuyết,3033,4.8,428,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/a1/ef/4f/0b39e40dca3827604c8bc4e867cc9423.jpg,0.4,Vietnamese (Tiếng Việt),,,40
6646,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,138000,95200,20322,Truyện ngắn - Tản văn - Tạp Văn,4863,4.8,424,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/38/bb/4b/5f03392a2fb98bc19b63de688b2ad218.jpg,0.36,Vietnamese (Tiếng Việt),,,36
