id,author,publisher,booktitle,language,mainImage,price,quantity,desc
1,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg,30000,50,Ok
2,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,https://images.gr-assets.com/books/1474154022m/3.jpg,30000,50,Ok
3,Stephenie Meyer,2005,"Twilight (Twilight, #1)",en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg,30000,50,Ok
4,Harper Lee,1960,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg,30000,50,Ok
5,F. Scott Fitzgerald,1925,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,30000,50,Ok
6,John Green,2012,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg,30000,50,Ok
7,J.R.R. Tolkien,1937,The Hobbit,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg,30000,50,Ok
8,J.D. Salinger,1951,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg,30000,50,Ok
9,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg,30000,50,Ok
10,Jane Austen,1813,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg,30000,50,Ok
11,Khaled Hosseini,2003,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg,30000,50,Ok
12,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,30000,50,Ok
13,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,30000,50,Ok
14,George Orwell,1945,Animal Farm,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,30000,50,Ok
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,30000,50,Ok
16,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,30000,50,Ok
17,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,30000,50,Ok
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,https://images.gr-assets.com/books/1499277281m/5.jpg,30000,50,Ok
19,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,https://images.gr-assets.com/books/1298411339m/34.jpg,30000,50,Ok
20,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,30000,50,Ok
21,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,https://images.gr-assets.com/books/1387141547m/2.jpg,30000,50,Ok
22,Alice Sebold,2002,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,30000,50,Ok
23,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,30000,50,Ok
24,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,https://images.gr-assets.com/books/1361482611m/6.jpg,30000,50,Ok
25,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,30000,50,Ok
26,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,https://images.gr-assets.com/books/1303252999m/968.jpg,30000,50,Ok
